Date,Voucher Number,Voucher Type,Status,Customer Name,State,Region,Product Name,Quantity,Rate,Product Net Amount,CGST,SGST,IGST,Other Charges,Invoice Total
2026-04-01,GST/0003/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,48.85,27700.0,1353145.0,121783.05,121783.05,0,1353145.0,1596711.1
2026-04-01,GST/0004/26-27,GST Sales,Sale,Shivans Steel Private Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,65.39,28825.0,1884866.75,169638.01,169638.01,0,1884866.75,2224142.77
2026-04-06,GST/0023/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,Other Waste,32.16,200.0,6432.0,578.88,578.88,0,6432.0,7589.76
2026-04-15,GST/0053/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,SPONGE IRON,41.77,29280.0,1223025.6,110072.3,110072.3,0,1223025.6,1443170.2
2026-04-02,GST/0010/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,63.95,18400.0,1176680.0,105901.2,105901.2,0,1176680.0,1388482.4
2026-05-18,GST/0112/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,65.26,26700.0,1742442.0,156819.78,156819.78,0,1742442.0,2056081.56
2026-05-21,GST/0114/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,64.7,26700.0,1727490.0,155474.1,155474.1,0,1727490.0,2038438.2
2026-05-30,GST/0121/26-27,GST Sales,Sale,M/s Pinnacle Solutions,Unknown State,Unknown Region,SPONGE IRON,58.33,26150.0,1525329.5,137279.66,137279.66,0,1525329.5,1799888.82
2026-05-30,GST/0124/26-27,GST Sales,Sale,M/s Pinnacle Solutions,Unknown State,Unknown Region,SPONGE IRON,51.88,26150.0,1356662.0,122099.58,122099.58,0,1356662.0,1600861.16
2026-06-14,GST/0154/26-27,GST Sales,Sale,Shivans Steel Private Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,64.88,26400.0,1712832.0,154154.88,154154.88,0,1712832.0,2021141.76
2026-06-14,GST/0153/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,SPONGE IRON,62.64,16380.0,1026043.2,92343.89,92343.89,0,1026043.2,1210730.98
2026-06-24,GST/0171/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,SPONGE IRON,30.73,26230.0,806047.9,83191.44,83191.44,0,924349.3,1090732.18
2026-06-24,GST/0171/26-27,GST Sales,Sale,SURYANSH TRACKING SYSTEMS PVT LTD,Unknown State,Unknown Region,SPONGE IRON,4.58,25830.0,118301.4,0.0,0.0,0.0,0.0,0.0
2026-04-28,GST/0066/26-27,GST Sales,Sale,Anantech Ventures Limited (Sales A/c),Unknown State,Unknown Region,SPONGE IRON,60.79,27900.0,1696041.0,152643.69,152643.69,0,1696041.0,2001328.38
2026-05-02,GST/0080/26-27,GST Sales,Sale,Cash,Unknown State,Unknown Region,Services/Ledger Entry,,,0.0,0,0,0,0.0,0.0
